region,category,parameter,mode,powertrain,year,unit,value,percentage
Europe,Historical,EV sales share,Trucks,EV,2014,percent,13,"1300,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2014,Milion barrels per day,2100,"210000,00%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2014,Milion barrels per day,720,"72000,00%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2014,Milion barrels per day,2000,"200000,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2014,Milion barrels per day,27,"2700,00%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2014,"Oil displacement, million lge",469.999.998.807.907,"46999999880790700,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2014,"Oil displacement, million lge",649.999.976.158.142,"64999997615814200,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2014,"Oil displacement, million lge",61.000.000.685.454,"6100000068545400,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2014,"Oil displacement, million lge",310.000.002.384.186,"31000000238418600,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2015,Milion barrels per day,3.999.999.910.593,"399999991059300,00%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2015,Milion barrels per day,52.000.001.072.884,"5200000107288400,00%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2015,Milion barrels per day,230,"23000,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2015,Milion barrels per day,3300,"330000,00%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2015,"Oil displacement, million lge",1700,"170000,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2015,"Oil displacement, million lge",17,"1700,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2015,"Oil displacement, million lge",22,"2200,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2015,"Oil displacement, million lge",1600,"160000,00%"
Europe,Historical,EV stock share,Trucks,EV,2015,percent,45,"4500,00%"
Europe,Historical,EV sales share,Trucks,EV,2015,percent,7,"700,00%"
Europe,Historical,EV stock share,Cars,EV,2015,percent,2900,"290000,00%"
Europe,Historical,EV charging points,EV,Publicly available slow,2015,charging points,33,"3300,00%"
Europe,Historical,EV charging points,EV,Publicly available fast,2015,charging points,42,"4200,00%"
Europe,Historical,EV sales share,Cars,EV,2015,percent,3,"300,00%"
Europe,Historical,EV sales share,Buses,EV,2015,percent,7500,"750000,00%"
Europe,Historical,EV stock share,Vans,EV,2015,percent,19000,"1900000,00%"
Europe,Historical,EV sales share,Vans,EV,2015,percent,7,"700,00%"
Europe,Historical,EV stock share,Buses,EV,2015,percent,10000,"1000000,00%"
Europe,Historical,EV stock,Trucks,BEV,2015,Vehicles,28.999.999.165.535,"2899999916553500,00%"
Europe,Historical,EV stock,Trucks,FCEV,2015,Vehicles,83.999.998.867.512,"8399999886751200,00%"
Europe,Historical,EV stock,Trucks,PHEV,2015,Vehicles,379.999.995.231.628,"37999999523162800,00%"
Europe,Historical,Electricity demand,Buses,EV,2015,GWh,0.5,0.5
Europe,Historical,Electricity demand,Trucks,EV,2015,GWh,340.000.009.536.743,"34000000953674300,00%"
Europe,Historical,Electricity demand,Vans,EV,2015,GWh,550.000.011.920.929,"55000001192092900,00%"
Europe,Historical,Electricity demand,Cars,EV,2015,GWh,219.999.998.807.907,"21999999880790700,00%"
Europe,Historical,EV sales,Trucks,BEV,2015,Vehicles,610.000.014.305.115,"61000001430511500,00%"
Europe,Historical,EV stock,Cars,PHEV,2015,Vehicles,360.000.014.305.115,"36000001430511500,00%"
Europe,Historical,EV sales,Cars,PHEV,2015,Vehicles,189.999.997.615.814,"18999999761581400,00%"
Europe,Historical,EV stock,Cars,FCEV,2015,Vehicles,280.000.001.192.093,"28000000119209300,00%"
Europe,Historical,EV sales,Cars,FCEV,2015,Vehicles,150.000.005.960.464,"15000000596046400,00%"
Europe,Historical,EV stock,Cars,BEV,2015,Vehicles,36,"3600,00%"
Europe,Historical,EV sales,Cars,BEV,2015,Vehicles,2800,"280000,00%"
Europe,Historical,EV stock,Vans,PHEV,2015,Vehicles,5000,"500000,00%"
Europe,Historical,EV sales,Vans,PHEV,2015,Vehicles,26,"2600,00%"
Europe,Historical,EV stock,Vans,FCEV,2015,Vehicles,11000,"1100000,00%"
Europe,Historical,EV stock,Vans,BEV,2015,Vehicles,3300,"330000,00%"
Europe,Historical,EV sales,Vans,FCEV,2015,Vehicles,540,"54000,00%"
Europe,Historical,EV sales,Buses,PHEV,2015,Vehicles,14,"1400,00%"
Europe,Historical,EV stock,Buses,FCEV,2015,Vehicles,85,"8500,00%"
Europe,Historical,EV stock,Buses,PHEV,2015,Vehicles,5,"500,00%"
Europe,Historical,EV sales,Vans,BEV,2015,Vehicles,4,"400,00%"
Europe,Historical,EV stock,Buses,BEV,2015,Vehicles,5,"500,00%"
Europe,Historical,EV sales,Buses,BEV,2015,Vehicles,5,"500,00%"
Europe,Historical,EV sales,Buses,BEV,2016,Vehicles,3500,"350000,00%"
Europe,Historical,EV stock,Buses,BEV,2016,Vehicles,350,"35000,00%"
Europe,Historical,EV sales,Buses,FCEV,2016,Vehicles,7,"700,00%"
Europe,Historical,EV sales,Vans,BEV,2016,Vehicles,11,"1100,00%"
Europe,Historical,EV stock,Buses,PHEV,2016,Vehicles,44,"4400,00%"
Europe,Historical,EV stock,Buses,FCEV,2016,Vehicles,83,"8300,00%"
Europe,Historical,EV sales,Buses,PHEV,2016,Vehicles,420,"42000,00%"
Europe,Historical,EV sales,Vans,FCEV,2016,Vehicles,210,"21000,00%"
Europe,Historical,EV stock,Vans,BEV,2016,Vehicles,6.000.000.052.154,"600000005215400,00%"
Europe,Historical,EV stock,Vans,FCEV,2016,Vehicles,13.000.000.268.221,"1300000026822100,00%"
Europe,Historical,EV sales,Vans,PHEV,2016,Vehicles,1000,"100000,00%"
Europe,Historical,EV stock,Vans,PHEV,2016,Vehicles,5300,"530000,00%"
Europe,Historical,EV sales,Cars,BEV,2016,Vehicles,140,"14000,00%"
Europe,Historical,EV stock,Cars,BEV,2016,Vehicles,140,"14000,00%"
Europe,Historical,EV sales,Cars,FCEV,2016,Vehicles,400,"40000,00%"
Europe,Historical,EV stock,Cars,FCEV,2016,Vehicles,8,"800,00%"
Europe,Historical,EV sales,Cars,PHEV,2016,Vehicles,3,"300,00%"
Europe,Historical,EV stock,Cars,PHEV,2016,Vehicles,78,"7800,00%"
Europe,Historical,EV sales,Trucks,BEV,2016,Vehicles,10000,"1000000,00%"
Europe,Historical,Electricity demand,Buses,EV,2016,GWh,180,"18000,00%"
Europe,Historical,Electricity demand,Trucks,EV,2016,GWh,10,"1000,00%"
Europe,Historical,Electricity demand,Vans,EV,2016,GWh,30000,"3000000,00%"
Europe,Historical,Electricity demand,Cars,EV,2016,GWh,29000,"2900000,00%"
Europe,Historical,EV stock,Trucks,PHEV,2016,Vehicles,55000,"5500000,00%"
Europe,Historical,EV stock,Trucks,FCEV,2016,Vehicles,59,"5900,00%"
Europe,Historical,EV stock,Trucks,BEV,2016,Vehicles,260,"26000,00%"
Europe,Historical,EV stock share,Buses,EV,2016,percent,20,"2000,00%"
Europe,Historical,EV sales share,Vans,EV,2016,percent,65.999.999.642.372,"6599999964237200,00%"
Europe,Historical,EV stock share,Vans,EV,2016,percent,1800,"180000,00%"
Europe,Historical,EV sales share,Buses,EV,2016,percent,11000,"1100000,00%"
Europe,Historical,EV sales share,Cars,EV,2016,percent,270.000.010.728.836,"27000001072883600,00%"
Europe,Historical,EV charging points,EV,Publicly available fast,2016,charging points,129.999.995.231.628,"12999999523162800,00%"
Europe,Historical,EV charging points,EV,Publicly available slow,2016,charging points,139.999.997.615.814,"13999999761581400,00%"
Europe,Historical,EV stock share,Cars,EV,2016,percent,14.999.999.664.724,"1499999966472400,00%"
Europe,Historical,EV sales share,Trucks,EV,2016,percent,120.000.004.768.372,"12000000476837200,00%"
Europe,Historical,EV stock share,Trucks,EV,2016,percent,28.999.999.165.535,"2899999916553500,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2016,Milion barrels per day,349.999.994.039.536,"34999999403953600,00%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2016,Milion barrels per day,21,"2100,00%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2016,Milion barrels per day,820,"82000,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2016,Milion barrels per day,500,"50000,00%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2016,"Oil displacement, million lge",73000,"7300000,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2016,"Oil displacement, million lge",1200,"120000,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2016,"Oil displacement, million lge",1100,"110000,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2016,"Oil displacement, million lge",270000,"27000000,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2017,Milion barrels per day,87000,"8700000,00%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2017,Milion barrels per day,300000,"30000000,00%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2017,Milion barrels per day,180.000.002.729,"18000000272900,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2017,Milion barrels per day,14.000.000.432.134,"1400000043213400,00%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2017,"Oil displacement, million lge",10,"1000,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2017,"Oil displacement, million lge",830,"83000,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2017,"Oil displacement, million lge",91,"9100,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2017,"Oil displacement, million lge",3500,"350000,00%"
Europe,Historical,EV stock share,Trucks,EV,2017,percent,550,"55000,00%"
Europe,Historical,EV sales share,Trucks,EV,2017,percent,3100,"310000,00%"
Europe,Historical,EV stock share,Cars,EV,2017,percent,35000,"3500000,00%"
Europe,Historical,EV charging points,EV,Publicly available slow,2017,charging points,180.000.007.152.557,"18000000715255700,00%"
Europe,Historical,EV charging points,EV,Publicly available fast,2017,charging points,259.999.990.463.257,"25999999046325700,00%"
Europe,Historical,EV sales share,Cars,EV,2017,percent,140.000.000.596.046,"14000000059604600,00%"
Europe,Historical,EV sales share,Buses,EV,2017,percent,990.000.009.536.743,"99000000953674300,00%"
Europe,Historical,EV stock share,Vans,EV,2017,percent,89.000.001.549.721,"8900000154972100,00%"
Europe,Historical,EV sales share,Vans,EV,2017,percent,899.999.976.158.142,"89999997615814200,00%"
Europe,Historical,EV stock share,Buses,EV,2017,percent,189.999.997.615.814,"18999999761581400,00%"
Europe,Historical,EV stock,Trucks,BEV,2017,Vehicles,810.000.002.384.186,"81000000238418600,00%"
Europe,Historical,EV stock,Trucks,FCEV,2017,Vehicles,86.999.997.496.605,"8699999749660500,00%"
Europe,Historical,EV stock,Trucks,PHEV,2017,Vehicles,7900,"790000,00%"
Europe,Historical,EV sales,Trucks,PHEV,2017,Vehicles,30000,"3000000,00%"
Europe,Historical,Electricity demand,Buses,EV,2017,GWh,23000,"2300000,00%"
Europe,Historical,Electricity demand,Trucks,EV,2017,GWh,120000,"12000000,00%"
Europe,Historical,Electricity demand,Vans,EV,2017,GWh,99,"9900,00%"
Europe,Historical,Electricity demand,Cars,EV,2017,GWh,250,"25000,00%"
Europe,Historical,EV sales,Trucks,BEV,2017,Vehicles,2000,"200000,00%"
Europe,Historical,EV stock,Cars,PHEV,2017,Vehicles,170,"17000,00%"
Europe,Historical,EV sales,Cars,PHEV,2017,Vehicles,2400,"240000,00%"
Europe,Historical,EV stock,Cars,FCEV,2017,Vehicles,470000,"47000000,00%"
Europe,Historical,EV sales,Cars,FCEV,2017,Vehicles,1200000,"120000000,00%"
Europe,Historical,EV stock,Cars,BEV,2017,Vehicles,72000,"7200000,00%"
Europe,Historical,EV sales,Cars,BEV,2017,Vehicles,6700,"670000,00%"
Europe,Historical,EV stock,Vans,PHEV,2017,Vehicles,2900,"290000,00%"
Europe,Historical,EV sales,Vans,PHEV,2017,Vehicles,840,"84000,00%"
Europe,Historical,EV stock,Vans,FCEV,2017,Vehicles,8400,"840000,00%"
Europe,Historical,EV stock,Vans,BEV,2017,Vehicles,4,"400,00%"
Europe,Historical,EV sales,Vans,FCEV,2017,Vehicles,110.000.002.384.186,"11000000238418600,00%"
Europe,Historical,EV sales,Buses,PHEV,2017,Vehicles,240000,"24000000,00%"
Europe,Historical,EV stock,Buses,FCEV,2017,Vehicles,2,"200,00%"
Europe,Historical,EV stock,Buses,PHEV,2017,Vehicles,47000,"4700000,00%"
Europe,Historical,EV sales,Vans,BEV,2017,Vehicles,65000,"6500000,00%"
Europe,Historical,EV sales,Buses,FCEV,2017,Vehicles,290000,"29000000,00%"
Europe,Historical,EV stock,Buses,BEV,2017,Vehicles,810000,"81000000,00%"
Europe,Historical,EV sales,Buses,BEV,2017,Vehicles,3300,"330000,00%"
Europe,Historical,EV sales,Buses,BEV,2018,Vehicles,12.000.000.104.308,"1200000010430800,00%"
Europe,Historical,EV stock,Buses,BEV,2018,Vehicles,7.000.000.216.067,"700000021606700,00%"
Europe,Historical,EV sales,Buses,FCEV,2018,Vehicles,3.400.000.045.076,"340000004507600,00%"
Europe,Historical,EV sales,Vans,BEV,2018,Vehicles,32.000.001.519.919,"3200000151991900,00%"
Europe,Historical,EV stock,Buses,PHEV,2018,Vehicles,700,"70000,00%"
Europe,Historical,EV stock,Buses,FCEV,2018,Vehicles,420,"42000,00%"
Europe,Historical,EV sales,Buses,PHEV,2018,Vehicles,200,"20000,00%"
Europe,Historical,EV sales,Vans,FCEV,2018,Vehicles,1900,"190000,00%"
Europe,Historical,EV stock,Vans,BEV,2018,Vehicles,239.999.994.635.582,"23999999463558200,00%"
Europe,Historical,EV stock,Vans,FCEV,2018,Vehicles,39,"3900,00%"
Europe,Historical,EV sales,Vans,PHEV,2018,Vehicles,77000,"7700000,00%"
Europe,Historical,EV stock,Vans,PHEV,2018,Vehicles,360,"36000,00%"
Europe,Historical,EV sales,Cars,BEV,2018,Vehicles,190000,"19000000,00%"
Europe,Historical,EV stock,Cars,BEV,2018,Vehicles,52,"5200,00%"
Europe,Historical,EV sales,Cars,FCEV,2018,Vehicles,1100,"110000,00%"
Europe,Historical,EV stock,Cars,FCEV,2018,Vehicles,3900,"390000,00%"
Europe,Historical,EV sales,Cars,PHEV,2018,Vehicles,52.000.001.072.884,"5200000107288400,00%"
Europe,Historical,EV stock,Cars,PHEV,2018,Vehicles,259.999.990.463.257,"25999999046325700,00%"
Europe,Historical,EV sales,Trucks,BEV,2018,Vehicles,40,"4000,00%"
Europe,Historical,Electricity demand,Buses,EV,2018,GWh,440,"44000,00%"
Europe,Historical,Electricity demand,Trucks,EV,2018,GWh,1200,"120000,00%"
Europe,Historical,Electricity demand,Vans,EV,2018,GWh,3400,"340000,00%"
Europe,Historical,Electricity demand,Cars,EV,2018,GWh,379.999.995.231.628,"37999999523162800,00%"
Europe,Historical,EV sales,Trucks,PHEV,2018,Vehicles,2,"200,00%"
Europe,Historical,EV stock,Trucks,PHEV,2018,Vehicles,100.000.001.490.116,"10000000149011600,00%"
Europe,Historical,EV stock,Trucks,FCEV,2018,Vehicles,100.000.001.490.116,"10000000149011600,00%"
Europe,Historical,EV stock,Trucks,BEV,2018,Vehicles,3900,"390000,00%"
Europe,Historical,EV stock share,Buses,EV,2018,percent,19,"1900,00%"
Europe,Historical,EV sales share,Vans,EV,2018,percent,2,"200,00%"
Europe,Historical,EV stock share,Vans,EV,2018,percent,1700,"170000,00%"
Europe,Historical,EV sales share,Buses,EV,2018,percent,15000,"1500000,00%"
Europe,Historical,EV sales share,Cars,EV,2018,percent,5400,"540000,00%"
Europe,Historical,EV charging points,EV,Publicly available fast,2018,charging points,9.700.000.286.102,"970000028610200,00%"
Europe,Historical,EV charging points,EV,Publicly available slow,2018,charging points,529.999.971.389.771,"52999997138977100,00%"
Europe,Historical,EV stock share,Cars,EV,2018,percent,109.999.999.403.954,"10999999940395400,00%"
Europe,Historical,EV sales share,Trucks,EV,2018,percent,170.000.001.788.139,"17000000178813900,00%"
Europe,Historical,EV stock share,Trucks,EV,2018,percent,910.000.026.226.044,"91000002622604400,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2018,Milion barrels per day,230.000.004.172.325,"23000000417232500,00%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2018,Milion barrels per day,220,"22000,00%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2018,Milion barrels per day,1500,"150000,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2018,Milion barrels per day,14,"1400,00%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2018,"Oil displacement, million lge",12000,"1200000,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2018,"Oil displacement, million lge",23000,"2300000,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2018,"Oil displacement, million lge",31,"3100,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2018,"Oil displacement, million lge",259.999.990.463.257,"25999999046325700,00%"
Europe,Historical,Oil displacement Mbd,Buses,EV,2019,Milion barrels per day,7500,"750000,00%"
Europe,Historical,Oil displacement Mbd,Trucks,EV,2019,Milion barrels per day,11,"1100,00%"
Europe,Historical,Oil displacement Mbd,Vans,EV,2019,Milion barrels per day,4,"400,00%"
Europe,Historical,Oil displacement Mbd,Cars,EV,2019,Milion barrels per day,2700,"270000,00%"
Europe,Historical,"Oil displacement, million lge",Buses,EV,2019,"Oil displacement, million lge",780,"78000,00%"
Europe,Historical,"Oil displacement, million lge",Trucks,EV,2019,"Oil displacement, million lge",1,"100,00%"
Europe,Historical,"Oil displacement, million lge",Vans,EV,2019,"Oil displacement, million lge",130,"13000,00%"
Europe,Historical,"Oil displacement, million lge",Cars,EV,2019,"Oil displacement, million lge",130,"13000,00%"
Europe,Historical,EV stock share,Trucks,EV,2019,percent,10,"1000,00%"
Europe,Historical,EV sales share,Trucks,EV,2019,percent,2,"200,00%"
Europe,Historical,EV stock share,Cars,EV,2019,percent,1.700.000.022.538,"170000002253800,00%"
Europe,Historical,EV charging points,EV,Publicly available slow,2019,charging points,23.000.000.044.704,"2300000004470400,00%"
Europe,Historical,EV charging points,EV,Publicly available fast,2019,charging points,6.000.000.052.154,"600000005215400,00%"
Europe,Historical,EV sales share,Cars,EV,2019,percent,1.300.000.003.539,"130000000353900,00%"
Europe,Historical,EV sales share,Buses,EV,2019,percent,9.800.000.116.229,"980000011622900,00%"
Europe,Historical,EV stock share,Vans,EV,2019,percent,320,"32000,00%"
Europe,Historical,EV sales share,Vans,EV,2019,percent,140,"14000,00%"
Europe,Historical,EV stock share,Buses,EV,2019,percent,290,"29000,00%"
Europe,Historical,EV stock,Trucks,BEV,2019,Vehicles,360,"36000,00%"
Europe,Historical,EV stock,Trucks,FCEV,2019,Vehicles,18,"1800,00%"
Europe,Historical,EV stock,Trucks,PHEV,2019,Vehicles,8,"800,00%"
Europe,Historical,EV sales,Trucks,PHEV,2019,Vehicles,3,"300,00%"
Europe,Historical,EV sales,Trucks,FCEV,2019,Vehicles,340.000.003.576.279,"34000000357627900,00%"
Europe,Historical,Electricity demand,Buses,EV,2019,GWh,38,"3800,00%"
Europe,Historical,Electricity demand,Trucks,EV,2019,GWh,68,"6800,00%"
Europe,Historical,Electricity demand,Vans,EV,2019,GWh,22000,"2200000,00%"
Europe,Historical,Electricity demand,Cars,EV,2019,GWh,28,"2800,00%"
Europe,Historical,EV sales,Trucks,BEV,2019,Vehicles,8000,"800000,00%"
Europe,Historical,EV stock,Cars,PHEV,2019,Vehicles,670,"67000,00%"
Europe,Historical,EV sales,Cars,PHEV,2019,Vehicles,5200,"520000,00%"
Europe,Historical,EV stock,Cars,FCEV,2019,Vehicles,1,"100,00%"
Europe,Historical,EV sales,Cars,FCEV,2019,Vehicles,209.999.993.443.489,"20999999344348900,00%"
Europe,Historical,EV stock,Cars,BEV,2019,Vehicles,1.900.000.032.038,"190000003203800,00%"
Europe,Historical,EV sales,Cars,BEV,2019,Vehicles,0.25,0.25
Europe,Historical,EV stock,Vans,PHEV,2019,Vehicles,190.000.006.114,"19000000611400,00%"
Europe,Historical,EV sales,Vans,PHEV,2019,Vehicles,11,"1100,00%"
Europe,Historical,EV stock,Vans,FCEV,2019,Vehicles,5,"500,00%"
Europe,Historical,EV stock,Vans,BEV,2019,Vehicles,8700,"870000,00%"
Europe,Historical,EV sales,Buses,PHEV,2019,Vehicles,1,"100,00%"
Europe,Historical,EV stock,Buses,FCEV,2019,Vehicles,9,"900,00%"
Europe,Historical,EV stock,Buses,PHEV,2019,Vehicles,25000,"2500000,00%"
Europe,Historical,EV sales,Vans,BEV,2019,Vehicles,5,"500,00%"
Europe,Historical,EV sales,Buses,FCEV,2019,Vehicles,61.000.000.685.454,"6100000068545400,00%"
Europe,Historical,EV stock,Buses,BEV,2019,Vehicles,650.000.013.411,"65000001341100,00%"
Europe,Historical,EV sales,Buses,BEV,2019,Vehicles,61,"6100,00%"
Europe,Historical,EV sales,Buses,BEV,2020,Vehicles,15,"1500,00%"
Europe,Historical,EV stock,Buses,BEV,2020,Vehicles,6,"600,00%"
Europe,Historical,EV sales,Buses,FCEV,2020,Vehicles,35,"3500,00%"
Europe,Historical,EV sales,Vans,BEV,2020,Vehicles,170,"17000,00%"
Europe,Historical,EV stock,Buses,PHEV,2020,Vehicles,120,"12000,00%"
Europe,Historical,EV stock,Buses,FCEV,2020,Vehicles,23.000.000.044.704,"2300000004470400,00%"
Europe,Historical,EV sales,Buses,PHEV,2020,Vehicles,12.000.000.104.308,"1200000010430800,00%"
Europe,Historical,EV stock,Vans,BEV,2020,Vehicles,3.199.999.919.161,"319999991916100,00%"
Europe,Historical,EV stock,Vans,FCEV,2020,Vehicles,14.999.999.664.724,"1499999966472400,00%"
Europe,Historical,EV sales,Vans,PHEV,2020,Vehicles,1300,"130000,00%"
Europe,Historical,EV stock,Vans,PHEV,2020,Vehicles,730,"73000,00%"
Europe,Historical,EV sales,Cars,BEV,2020,Vehicles,190,"19000,00%"
Europe,Historical,EV stock,Cars,BEV,2020,Vehicles,920,"92000,00%"
Europe,Historical,EV sales,Cars,FCEV,2020,Vehicles,589.999.973.773.956,"58999997377395600,00%"
Europe,Historical,EV stock,Cars,FCEV,2020,Vehicles,660.000.026.226.044,"66000002622604400,00%"
Europe,Historical,EV sales,Cars,PHEV,2020,Vehicles,370.000.004.768.372,"37000000476837200,00%"
Europe,Historical,EV stock,Cars,PHEV,2020,Vehicles,240.000.009.536.743,"24000000953674300,00%"
Europe,Historical,EV sales,Trucks,BEV,2020,Vehicles,97.000.002.861.023,"9700000286102300,00%"
Europe,Historical,Electricity demand,Buses,EV,2020,GWh,490.000.009.536.743,"49000000953674300,00%"
Europe,Historical,Electricity demand,Trucks,EV,2020,GWh,939.999.961.853.027,"93999996185302700,00%"
Europe,Historical,Electricity demand,Vans,EV,2020,GWh,60,"6000,00%"
Europe,Historical,Electricity demand,Cars,EV,2020,GWh,130000,"13000000,00%"
Europe,Projection-STEPS,Electricity demand,Buses,EV,2020,GWh,1,"100,00%"
Europe,Projection-STEPS,Electricity demand,Trucks,EV,2020,GWh,280000,"28000000,00%"
Europe,Projection-STEPS,Electricity demand,Vans,EV,2020,GWh,71000,"7100000,00%"
Europe,Projection-STEPS,Electricity demand,Cars,EV,2020,GWh,110000,"11000000,00%"
Europe,Historical,EV sales,Trucks,FCEV,2020,Vehicles,930000,"93000000,00%"
Europe,Historical,EV sales,Trucks,PHEV,2020,Vehicles,470000,"47000000,00%"
Europe,Historical,EV stock,Trucks,PHEV,2020,Vehicles,83000,"8300000,00%"
Europe,Historical,EV stock,Trucks,FCEV,2020,Vehicles,130000,"13000000,00%"
Europe,Historical,EV stock,Trucks,BEV,2020,Vehicles,340,"34000,00%"
Europe,Projection-STEPS,EV stock,Vans,FCEV,2020,Vehicles,280000,"28000000,00%"
Europe,Projection-STEPS,EV sales,Vans,BEV,2020,Vehicles,380,"38000,00%"
Europe,Projection-STEPS,EV stock,Vans,BEV,2020,Vehicles,88000,"8800000,00%"
Europe,Projection-STEPS,EV sales,Vans,PHEV,2020,Vehicles,120000,"12000000,00%"
Europe,Projection-STEPS,EV stock,Vans,PHEV,2020,Vehicles,68000,"6800000,00%"
Europe,Projection-STEPS,EV sales,Cars,BEV,2020,Vehicles,240,"24000,00%"
Europe,Projection-STEPS,EV stock,Cars,BEV,2020,Vehicles,30000,"3000000,00%"
Europe,Projection-STEPS,EV sales,Buses,BEV,2020,Vehicles,17,"1700,00%"
Europe,Projection-STEPS,EV stock,Buses,BEV,2020,Vehicles,11000,"1100000,00%"
Europe,Projection-STEPS,EV sales,Buses,FCEV,2020,Vehicles,4200,"420000,00%"
Europe,Projection-STEPS,EV stock,Buses,FCEV,2020,Vehicles,540,"54000,00%"
Europe,Projection-STEPS,EV sales,Buses,PHEV,2020,Vehicles,3400,"340000,00%"
Europe,Projection-STEPS,EV stock,Buses,PHEV,2020,Vehicles,92,"9200,00%"
Europe,Projection-STEPS,EV sales,Cars,FCEV,2020,Vehicles,56,"5600,00%"
Europe,Projection-STEPS,EV stock,Cars,FCEV,2020,Vehicles,6.700.000.166.893,"670000016689300,00%"
Europe,Projection-STEPS,EV sales,Cars,PHEV,2020,Vehicles,25,"2500,00%"
Europe,Projection-STEPS,EV stock,Cars,PHEV,2020,Vehicles,59.999.998.658.896,"5999999865889600,00%"
Europe,Projection-STEPS,EV sales,Trucks,BEV,2020,Vehicles,180,"18000,00%"
Europe,Projection-STEPS,EV stock,Trucks,BEV,2020,Vehicles,140.000.000.596.046,"14000000059604600,00%"
Europe,Projection-STEPS,EV sales,Trucks,FCEV,2020,Vehicles,390,"39000,00%"
Europe,Projection-STEPS,EV stock,Trucks,FCEV,2020,Vehicles,370,"37000,00%"
Europe,Projection-STEPS,EV stock,Trucks,PHEV,2020,Vehicles,4200,"420000,00%"
Europe,Projection-STEPS,EV sales,Trucks,PHEV,2020,Vehicles,200,"20000,00%"
Europe,Projection-STEPS,EV stock share,Buses,EV,2020,percent,24,"2400,00%"
Europe,Projection-STEPS,EV sales share,Buses,EV,2020,percent,510,"51000,00%"
Europe,Projection-STEPS,EV sales share,Vans,EV,2020,percent,70,"7000,00%"
Europe,Projection-STEPS,EV stock share,Vans,EV,2020,percent,1800,"180000,00%"
Europe,Projection-STEPS,EV sales share,Cars,EV,2020,percent,8800,"880000,00%"
Europe,Projection-STEPS,EV stock share,Cars,EV,2020,percent,710,"71000,00%"
Europe,Projection-STEPS,EV stock share,Trucks,EV,2020,percent,15,"1500,00%"
Europe,Projection-STEPS,EV sales share,Trucks,EV,2020,percent,83,"8300,00%"
Europe,Projection-APS,EV charging points,EV,Publicly available fast,2020,charging points,6,"600,00%"
Europe,Projection-APS,EV charging points,EV,Publicly available slow,2020,charging points,620,"62000,00%"
Europe,Historical,EV stock share,Buses,EV,2020,percent,8,"800,00%"
Europe,Historical,EV sales share,Vans,EV,2020,percent,1,"100,00%"
Europe,Historical,EV stock share,Vans,EV,2020,percent,259.999.990.463.257,"25999999046325700,00%"
Europe,Historical,EV sales share,Buses,EV,2020,percent,71.000.002.324.581,"7100000232458100,00%"
Europe,Historical,EV sales share,Cars,EV,2020,percent,17.000.000.923.872,"1700000092387200,00%"
Europe,Projection-APS,EV sales share,Buses,EV,2020,percent,14.000.000.432.134,"1400000043213400,00%"
Europe,Projection-APS,EV stock share,Cars,EV,2020,percent,180.000.007.152.557,"18000000715255700,00%"
Europe,Projection-APS,EV stock share,Buses,EV,2020,percent,419.999.986.886.978,"41999998688697800,00%"
Europe,Projection-APS,EV sales share,Vans,EV,2020,percent,600.000.023.841.858,"60000002384185800,00%"
